Original Viral population,Original Host,Final_score,CRISPR score,Prophage blast score,WIsH score,Number of CRISPR matches,Max number of end mismatches detected in any CRISPR spacer,Prophage blast percent identity,Prophage blast viral contig coverage,tRNA match,Max number of end mismatches detected in host tRNA,Non-promiscuous tRNA match score,WIsH p-value,Viral population,Predicted host
Contig13791152||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0344001,Virus_002596,BAC_Host_084
Contig138973219||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0171293,Virus_039776,BAC_Host_084
Contig139905900||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00775494,Virus_040181,BAC_Host_084
Contig143355388||lt2gene,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0112885,Virus_049379,BAC_Host_084
Contig143736748||full,bin.234,4.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,Yes,0,3,0.000150367,Virus_041967,BAC_Host_084
Contig144019121||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0391945,Virus_042105,BAC_Host_084
Contig145076573||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022542,Virus_042570,BAC_Host_084
Contig146017259||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0304585,Virus_042944,BAC_Host_084
Contig147918102||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0320873,Virus_043788,BAC_Host_084
Contig149343183||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101308,Virus_044497,BAC_Host_084
Contig149719899||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0159339,Virus_044667,BAC_Host_084
Contig150492254||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0256621,Virus_045055,BAC_Host_084
Contig151011167||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131528,Virus_045304,BAC_Host_084
Contig152864730||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0272619,Virus_046216,BAC_Host_084
Contig153332345||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0210312,Virus_046450,BAC_Host_084
Contig154172194||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043096,Virus_046861,BAC_Host_084
Contig154868080||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00407787,Virus_047196,BAC_Host_084
Contig156157140||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00920682,Virus_047810,BAC_Host_084
Contig20786043||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0483394,Virus_003906,BAC_Host_084
Contig21633441||full,bin.234,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000346059,Virus_004069,BAC_Host_084
Contig27068142||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0466617,Virus_005120,BAC_Host_084
Contig30082870||lt2gene,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00333514,Virus_048566,BAC_Host_084
Contig30564346||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00286753,Virus_005870,BAC_Host_084
Contig33210812||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00596511,Virus_006527,BAC_Host_084
Contig35900658||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131806,Virus_007125,BAC_Host_084
Contig35913566||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0129714,Virus_007129,BAC_Host_084
Contig3628102||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00830243,Virus_000679,BAC_Host_084
Contig39234070||lt2gene,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0415204,Virus_048616,BAC_Host_084
Contig46498906||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00252312,Virus_009603,BAC_Host_084
Contig52940282||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0172878,Virus_011135,BAC_Host_084
Contig54224616||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00635618,Virus_011470,BAC_Host_084
Contig5670135||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00737954,Virus_001067,BAC_Host_084
Contig57285228||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0364128,Virus_012235,BAC_Host_084
Contig58266671||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0342737,Virus_012487,BAC_Host_084
Contig59663961||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0193734,Virus_012877,BAC_Host_084
Contig60541088||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00717881,Virus_013100,BAC_Host_084
Contig64559893||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149619,Virus_014158,BAC_Host_084
Contig64610592||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00336766,Virus_014177,BAC_Host_084
Contig67389681||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022295,Virus_014869,BAC_Host_084
Contig69513597||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0286139,Virus_015494,BAC_Host_084
Contig70649670||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0355422,Virus_015751,BAC_Host_084
Contig73557749||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0286527,Virus_016559,BAC_Host_084
Contig74087141||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0164262,Virus_016715,BAC_Host_084
Contig7834370||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0365357,Virus_001491,BAC_Host_084
Contig79687811||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0213704,Virus_018363,BAC_Host_084
Contig79836462||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0249881,Virus_018418,BAC_Host_084
Contig79881806||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0157626,Virus_018428,BAC_Host_084
Contig80448227||full,bin.234,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_018601,BAC_Host_084
Contig82427446||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019433,Virus_019203,BAC_Host_084
Contig8517305||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0442937,Virus_001621,BAC_Host_084
Contig85727439||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0167831,Virus_020244,BAC_Host_084
Contig8764651||lt2gene,bin.234,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0002758,Virus_048470,BAC_Host_084
Contig88444615||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0337561,Virus_048222,BAC_Host_084
Contig90809218||lt2gene,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048577,Virus_048940,BAC_Host_084
Contig91117323||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00701828,Virus_021878,BAC_Host_084
Contig91249262||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0174436,Virus_021928,BAC_Host_084
Contig91388128||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0160116,Virus_021974,BAC_Host_084
Contig91411295||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0444199,Virus_021981,BAC_Host_084
Contig92847456||full,bin.234,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00770641,Virus_022405,BAC_Host_084
Contig96576529||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0329871,Virus_023586,BAC_Host_084
Contig97398366||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0385169,Virus_023863,BAC_Host_084
Contig98880687||full,bin.234,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.017473,Virus_024317,BAC_Host_084
Contig99938942||lt2gene,bin.234,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000027369,Virus_049004,BAC_Host_084
Contig110924475||full,bin.235,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00410058,Virus_028517,BAC_Host_124
Contig134511266||full,bin.235,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0202774,Virus_037851,BAC_Host_124
Contig46049849||full,bin.235,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0461865,Virus_009490,BAC_Host_124
Contig100133008||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_024744,BAC_Host_106
Contig100901101||full,bin.236,2,NaN,2,NaN,NaN,NaN,91.761,0.517105,NaN,NaN,NaN,NaN,Virus_025045,BAC_Host_106
Contig105965192||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_026816,BAC_Host_106
Contig106656394||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_027094,BAC_Host_106
Contig106701460||full,bin.236,2,NaN,2,NaN,NaN,NaN,94.556,0.658288,NaN,NaN,NaN,NaN,Virus_027109,BAC_Host_106
Contig110757515||full,bin.236,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000769738,Virus_028468,BAC_Host_106
Contig111413353||full,bin.236,4,NaN,NaN,1,NaN,NaN,NaN,NaN,Yes,0,3,0.00255294,Virus_028692,BAC_Host_106
Contig118345725||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_031235,BAC_Host_106
Contig118465666||lt2gene,bin.236,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0185919,Virus_049139,BAC_Host_106
Contig119491089||full,bin.236,2,NaN,2,NaN,NaN,NaN,93.04,0.628491,NaN,NaN,NaN,NaN,Virus_031675,BAC_Host_106
Contig120088380||full,bin.236,3.5,NaN,3,0.5,NaN,NaN,92.494,0.817887,NaN,NaN,NaN,0.0122288,Virus_031894,BAC_Host_106
Contig12114986||full,bin.236,1,NaN,1,NaN,NaN,NaN,90.681,0.383457,NaN,NaN,NaN,NaN,Virus_002293,BAC_Host_106
Contig123522225||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_033305,BAC_Host_106
Contig127524983||full,bin.236,2,NaN,2,NaN,NaN,NaN,90.927,0.503688,NaN,NaN,NaN,NaN,Virus_034784,BAC_Host_106
Contig130130798||full,bin.236,3,NaN,3,NaN,NaN,NaN,90.364,1.002457,NaN,NaN,NaN,NaN,Virus_035930,BAC_Host_106
Contig130989526||0_partial,bin.236,1,NaN,1,NaN,NaN,NaN,95.285,0.302785,NaN,NaN,NaN,NaN,Virus_048416,BAC_Host_106
Contig130989527||0_partial,bin.236,2,NaN,2,NaN,NaN,NaN,90.595,0.547946,NaN,NaN,NaN,NaN,Virus_048417,BAC_Host_106
Contig136475390||0_partial,bin.236,2,NaN,2,NaN,NaN,NaN,92.572,0.588157,NaN,NaN,NaN,NaN,Virus_048419,BAC_Host_106
Contig137176994||full,bin.236,2,NaN,2,NaN,NaN,NaN,90.604,0.597042,NaN,NaN,NaN,NaN,Virus_038993,BAC_Host_106
Contig138045698||full,bin.236,3,NaN,3,NaN,NaN,NaN,92.708,0.77446,NaN,NaN,NaN,NaN,Virus_039367,BAC_Host_106
Contig145901217||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_042898,BAC_Host_106
Contig149577822||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_044609,BAC_Host_106
Contig151320645||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_045456,BAC_Host_106
Contig153535758||full,bin.236,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00341443,Virus_046547,BAC_Host_106
Contig153591839||full,bin.236,2,NaN,2,NaN,NaN,NaN,90.086,0.535045,NaN,NaN,NaN,NaN,Virus_046582,BAC_Host_106
Contig153616747||full,bin.236,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,1,2,NaN,Virus_046595,BAC_Host_106
Contig155277956||full,bin.236,1,NaN,1,NaN,NaN,NaN,93.373,0.402971,NaN,NaN,NaN,NaN,Virus_047400,BAC_Host_106
Contig156380675||full,bin.236,1,NaN,1,NaN,NaN,NaN,90.17,0.340911,NaN,NaN,NaN,NaN,Virus_047923,BAC_Host_106
Contig24545961||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_004660,BAC_Host_106
Contig24967095||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_004733,BAC_Host_106
Contig25349679||full,bin.236,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015155,Virus_004788,BAC_Host_106
Contig31489502||full,bin.236,1,NaN,1,NaN,NaN,NaN,90.373,0.381562,NaN,NaN,NaN,NaN,Virus_006095,BAC_Host_106
Contig41409276||full,bin.236,3,NaN,3,NaN,NaN,NaN,91.417,0.778583,NaN,NaN,NaN,NaN,Virus_008361,BAC_Host_106
Contig46227663||full,bin.236,3,NaN,3,NaN,NaN,NaN,90.1,1.003594,NaN,NaN,NaN,NaN,Virus_009545,BAC_Host_106
Contig46833924||full,bin.236,3.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,Yes,0,3,0.0134088,Virus_009703,BAC_Host_106
Contig50574889||full,bin.236,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00433375,Virus_010535,BAC_Host_106
Contig60388838||full,bin.236,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00975135,Virus_013077,BAC_Host_106
Contig62149226||full,bin.236,2,NaN,2,NaN,NaN,NaN,91.516,0.53124,NaN,NaN,NaN,NaN,Virus_013542,BAC_Host_106
Contig64559893||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_014158,BAC_Host_106
Contig64578255||full,bin.236,1,NaN,1,NaN,NaN,NaN,90.842,0.467981,NaN,NaN,NaN,NaN,Virus_014163,BAC_Host_106
Contig66761868||full,bin.236,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_014695,BAC_Host_106
Contig103581642||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_025994,BAC_Host_187
Contig10505671||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_002000,BAC_Host_187
Contig108029265||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_027559,BAC_Host_187
Contig111762448||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_028820,BAC_Host_187
Contig114486624||0_partial,bin.237,7,NaN,4,NaN,NaN,NaN,100,1,Yes,0,3,NaN,Virus_048409,BAC_Host_187
Contig118198531||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_031150,BAC_Host_187
Contig122897772||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_033031,BAC_Host_187
Contig123415316||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_033252,BAC_Host_187
Contig131498202||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_036463,BAC_Host_187
Contig132499178||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_036923,BAC_Host_187
Contig136835044||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_038842,BAC_Host_187
Contig137146503||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_038978,BAC_Host_187
Contig143244656||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_041727,BAC_Host_187
Contig144088874||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_042134,BAC_Host_187
Contig147209829||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_043472,BAC_Host_187
Contig149016153||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_044322,BAC_Host_187
Contig150121355||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_044858,BAC_Host_187
Contig309065||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_000053,BAC_Host_187
Contig314397||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_000055,BAC_Host_187
Contig35350616||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_006997,BAC_Host_187
Contig36924963||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_007348,BAC_Host_187
Contig44982327||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_009220,BAC_Host_187
Contig45150513||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_009267,BAC_Host_187
Contig45627331||full,bin.237,2,2,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,Virus_009369,BAC_Host_187
Contig46460039||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_009590,BAC_Host_187
Contig65152190||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_014303,BAC_Host_187
Contig84266216||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_019828,BAC_Host_187
Contig86051041||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_020345,BAC_Host_187
Contig89099032||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_021272,BAC_Host_187
Contig91590783||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_022033,BAC_Host_187
Contig94605726||full,bin.237,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_022929,BAC_Host_187
Contig108165975||full,bin.238,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00174646,Virus_027607,BAC_Host_305
Contig116904136||full,bin.238,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0305206,Virus_030673,BAC_Host_305
Contig134133705||full,bin.238,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0175933,Virus_037689,BAC_Host_305
Contig138534501||full,bin.238,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00525859,Virus_039577,BAC_Host_305
Contig20004166||full,bin.238,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00614256,Virus_003758,BAC_Host_305
Contig57767610||full,bin.238,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0110597,Virus_012359,BAC_Host_305
Contig70855400||full,bin.238,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0381119,Virus_015795,BAC_Host_305
Contig84949907||full,bin.238,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0328756,Virus_020019,BAC_Host_305
Contig112460378||full,bin.239,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000404422,Virus_029045,BAC_Host_310
Contig144714036||full,bin.239,4.5,NaN,3,1.5,NaN,NaN,92.169,0.990306,NaN,NaN,NaN,0.0000876924,Virus_042419,BAC_Host_310
Contig151159683||full,bin.239,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000566557,Virus_045373,BAC_Host_310
Contig54203539||full,bin.239,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000318183,Virus_011465,BAC_Host_310
Contig74212612||full,bin.239,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000578484,Virus_016737,BAC_Host_310
Contig100272403||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0356231,Virus_024793,BAC_Host_299
Contig100278240||full,bin.240,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000399348,Virus_024797,BAC_Host_299
Contig100324920||full,bin.240,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000960106,Virus_024815,BAC_Host_299
Contig100489064||full,bin.240,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_024878,BAC_Host_299
Contig100588673||full,bin.240,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000246161,Virus_024903,BAC_Host_299
Contig100682137||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0350117,Virus_024951,BAC_Host_299
Contig100852008||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0481377,Virus_025014,BAC_Host_299
Contig101320859||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0174942,Virus_025218,BAC_Host_299
Contig101443881||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0307796,Virus_025263,BAC_Host_299
Contig102423587||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0146034,Virus_025583,BAC_Host_299
Contig102582635||full,bin.240,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000977953,Virus_025641,BAC_Host_299
Contig103048336||full,bin.240,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000155465,Virus_025800,BAC_Host_299
Contig103194644||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0484992,Virus_025860,BAC_Host_299
Contig103422722||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0143391,Virus_025951,BAC_Host_299
Contig104881514||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0219644,Virus_026438,BAC_Host_299
Contig104941013||full,bin.240,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00389489,Virus_026460,BAC_Host_299
Contig106365575||full,bin.240,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000129941,Virus_026967,BAC_Host_299
Contig106784372||full,bin.240,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000299226,Virus_027131,BAC_Host_299
Contig107115161||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0359862,Virus_027262,BAC_Host_299
Contig107550937||full,bin.240,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00269215,Virus_027405,BAC_Host_299
Contig107804658||full,bin.240,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00174389,Virus_027477,BAC_Host_299
Contig107869591||full,bin.240,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000819723,Virus_027511,BAC_Host_299
Contig108170883||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0372931,Virus_027608,BAC_Host_299
Contig108277402||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0298488,Virus_027641,BAC_Host_299
Contig108496011||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0347717,Virus_027720,BAC_Host_299
Contig108707980||full,bin.240,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000763219,Virus_027783,BAC_Host_299
Contig108755082||full,bin.240,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00930697,Virus_027791,BAC_Host_299
Contig109050184||full,bin.240,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0169903,Virus_027897,BAC_Host_299
Contig109085544||full,bin.240,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000205333,Virus_027906,BAC_Host_299
